State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,fips
Missouri,-1.6,-1.8,0.7,2.1,2.5,0.5,1.2,0,-1.5,-0.2,-1.4,-1.2,-0.5,0,0.6,0.5,-1.1,-0.8,-1.1,-1.1,-0.4,0.3,-0.8,0.7,-0.1,0.1,-0.9,0.3,-1.9,-2.5,0.5,0.4,-1,-0.5,-0.1,-1.5,1.4,1.8,0.1,-1.5,1.7,1.6,0,-1.5,0.2,-0.3,-1.6,-0.8,2.7,1.9,0.6,1.3,0.8,0,0.5,1.7,2.3,1.7,-1.1,-0.5,0.7,1.1,4,-0.9,-1.6,1.3,2.9,2.6,0.7,0.5,US29
Montana,-2.9,-3.7,0,2.5,0.4,-2.4,-0.1,-0.4,1.5,-0.8,0,1.7,0.4,1.6,-0.6,-1.4,-0.1,0.4,-0.4,-1.2,-0.7,-0.7,-1.5,0.9,1.3,-1.8,1.6,0.5,-2.2,-0.9,1,2.9,-2.1,0.7,0.6,-2,1.9,3.5,3,-0.3,1.7,1.8,2.4,-1.5,1.6,0.6,-1.9,1.1,2.7,2.9,1.3,2.5,0.3,2.2,1.7,2,3.3,2.9,0.3,0,0.5,0.5,3.4,1.3,0.8,3.8,3.5,2.1,0.2,-1.2,US30
Nebraska,-2.1,-2.9,0.2,1.8,2.4,-0.2,0.9,-0.4,-0.5,-0.4,-1.4,-0.7,-0.2,1.7,0.2,-0.6,-1,-0.4,-0.4,-1,-0.2,-0.4,-1.2,0.3,0.8,-0.7,0.6,1.4,-2.3,-1.9,1.1,2.1,-1.4,-0.5,-0.2,-1.6,1.8,2.4,1.2,-0.4,1.6,1.7,0.5,-2.4,0.8,0.2,-1.8,0.2,2.2,2.6,1.5,1.9,1.6,1.4,1.4,2.3,2.7,1.6,-0.7,-0.8,0.9,0.4,4.3,0.1,-0.4,2.4,3.2,2.3,-0.1,-0.9,US31
Nevada,1.1,-0.3,-0.9,0.5,0.9,-1.7,-0.3,-0.7,1.5,0.8,0.6,0.4,0.1,0.3,-1.4,-0.8,0.6,0.1,0.1,0.2,-0.2,-1.1,-0.1,-0.2,0.6,-1.3,0,0.8,-0.1,0.1,0.9,2.3,-1.4,0,-0.7,-0.8,1.9,1.1,1.2,0.6,0.5,0.4,1.9,-0.9,1.3,1.4,2,1.1,-0.3,1.1,2,2.1,1.3,2.7,1.3,1.2,1.3,2,0.9,0.9,0.5,0.1,2.9,1,3.5,3.4,2.4,2.7,2.5,0.4,US32
New Hampshire,0.4,0.8,1.4,2.9,0.4,0.7,-0.8,1.1,-1,0.9,0.3,0.5,-1.2,-0.5,-0.1,-0.7,0,-0.7,-0.5,0.4,0,-0.1,-1.1,2.1,0,1,-0.6,0.4,-1.1,1.2,-0.6,0.9,-0.3,1.7,1.3,0.1,0.4,0.8,0.4,-0.6,2.7,2.2,-0.5,0.2,0.4,1,0.7,0,3.7,3.1,0.7,2.3,2.2,0.2,0.7,1.7,3.5,0.8,1.5,0.7,3.7,2.6,4.3,1.9,0.7,1.3,3.4,2.6,2.1,0.9,US33
New Jersey,-0.3,0.7,1.1,2.1,0.8,0.7,-0.1,1.1,-1.4,1.5,-0.3,0.1,-1.2,-0.9,0.2,-0.4,-0.3,-1.1,-0.1,-0.2,0,0.6,-0.4,2,0.7,1.4,-0.3,0.4,-1.2,0.2,0.2,0.1,0,1.2,0.8,1.1,0.9,1,0.2,0.1,3,3,-0.2,0.8,0.8,1.1,0.1,0.6,3.8,2.7,0.8,2.2,2.9,0.4,1.6,2,3.6,2.2,2.2,1.3,3.3,3.5,4.5,1.8,0.5,2.5,3.5,3.2,2.8,2.9,US34
New Mexico,1.4,0.2,-0.1,0.5,2.1,-0.3,0.6,0.3,0.4,0.2,-0.6,-0.6,0.5,0.8,-1.1,-0.2,-0.2,0.2,-0.8,0.4,-0.6,-0.6,0.2,-1.3,0,-1.4,-0.9,0.9,0.4,-1,0.8,1.6,-0.2,-0.3,-0.4,0,0.8,-0.9,-0.2,1.2,0.5,-0.3,-0.2,0.3,1.6,1.5,1.9,0.1,1.4,1.5,2.4,1.8,1.6,2.7,0.7,1.9,1.9,1.4,0.8,1.5,1.4,1.8,3.2,0.9,2,2.1,2.7,3.6,2.7,1.6,US35
New York,-0.3,0.5,1.4,2.5,0.5,0.9,-0.7,0.9,-1.4,0.9,-0.2,0.3,-1,-1.2,0.4,-0.8,-0.4,-0.7,-0.6,-0.3,-0.4,-0.2,-1.4,1.9,-0.3,1,-1.3,0,-1.6,0.1,-0.9,0.1,-0.1,1,0.7,0.2,0.6,1.2,0.3,-0.7,2.8,2.6,-0.7,-0.3,-0.2,0.7,0,-0.2,3.8,2.4,0.4,2.4,2.3,0,0.7,1.7,3.1,1.2,1.3,0.5,2.7,2.6,4.3,1.2,0,1.2,3.1,2.4,1.7,0.8,US36
North Carolina,0.3,0.3,0.7,1.5,0.6,0.1,0.6,0.8,-1.7,0.6,-1.3,-0.6,-0.9,-1.8,-0.4,-0.3,-1.7,-1.4,-1.3,-1.5,-0.1,0.2,-0.5,0.4,0.5,0.8,-1.2,-0.2,-1.1,-0.9,-0.6,-1.3,0.1,-0.7,0.1,0.7,1.3,0,-1.2,-0.3,2.6,1.7,-0.3,0.2,0.5,-0.1,-0.7,-0.4,2.3,1.2,-0.1,0.9,1.5,0.2,0.8,0.9,1.3,2,0.8,0.4,0.5,1.9,2.2,0.1,-0.1,2,2.3,2.5,1.9,2.8,US37
North Dakota,-4.8,-4.1,0.9,2.4,1.1,-0.9,-0.6,0.4,0.9,-0.2,-0.1,1.4,0.1,2.2,0.1,-2.1,-1.6,-0.4,-0.2,-1,-1.3,-0.6,-2.1,2.1,0.2,-0.3,1.6,1.4,-1.6,-2.5,1.5,3.5,-1.9,1.4,1.3,-1.5,2,5.3,2.7,-0.3,2.9,2.6,1.5,-1.4,0.3,-0.1,-3.2,1,3.5,3.3,1.4,2.5,1.3,1.1,0.8,2.7,4.1,2.1,-0.4,-1.2,1.2,1,4.4,-0.9,-0.7,3.7,4.7,2.3,0.1,-1.7,US38
Ohio,-1,-0.4,1.2,1.9,1.2,0.9,0.2,0.4,-2,0.9,-1.2,-0.4,-1,-1.9,0.5,0,-1.3,-0.9,-0.7,-1,0.2,0.2,-1,1.8,0,0.7,-1.5,-0.4,-2.1,-1.5,-1.1,-0.8,-0.1,0.6,0,0,1.2,1.9,0,-1,2.3,2.7,-0.1,0,0.1,-0.1,-0.9,-0.5,3.7,1.9,0.4,2,2.1,-0.2,0.9,1.4,2.3,1.9,0.2,0.1,1.3,1.9,3.6,0.5,-1.2,1.2,3.2,2.8,1.8,2,US39
Oklahoma,-0.8,-0.5,0.9,1.5,2.9,0.5,1.9,-0.7,-1.1,-0.8,-1.3,-1.5,0.1,1.1,0.4,0.7,-1.1,-0.2,-1.5,-0.6,-0.5,-0.2,-0.5,-0.7,-0.1,-1,-1.1,1,-1.2,-2.3,0.8,0.7,-0.7,-1.7,-0.3,-1,1.1,-0.1,-0.6,-1.6,1,0.6,-0.4,-1.6,0,-0.3,-0.7,-1,2.4,1.6,0.6,1.1,-0.3,0.2,0.4,1.1,2.5,0.3,-0.1,-0.3,0.6,1.9,3.5,-0.9,-0.8,1.1,2.6,2.1,0.5,0.1,US40
Oregon,-0.3,-0.4,-0.4,0.8,-0.3,-1.9,-0.5,-0.5,2.5,0.3,0,1.1,-0.1,0.5,-1.2,0.4,0.9,1.3,0.7,-0.1,0.2,-0.7,-0.2,0.8,0.5,-0.7,-0.1,0.5,0,0.4,0.5,1.3,-1.1,0.4,-0.9,-1.9,1.6,1.8,1.4,0,0.9,1.1,2.9,-1,1.3,1.6,1.1,1.3,1.3,0.7,1,1.3,1.2,2.5,1.9,1.2,1.5,1.3,0.3,0.8,0.6,-0.2,1.5,1.1,3.1,3.9,2.3,1.5,1.9,0.6,US41
Pennsylvania,-0.7,0.2,1,2,0.7,0.7,-0.2,0.7,-1.8,1.1,-0.9,-0.1,-1.2,-1.6,-0.1,-0.5,-0.8,-1.1,-0.5,-0.6,0,0.1,-0.9,1.6,0.1,0.8,-1.3,-0.2,-1.7,-0.6,-0.8,-0.6,-0.2,0.6,0.1,0.4,0.7,1.1,0,-0.6,2.6,2.6,-0.5,0.1,-0.1,0.4,-0.5,-0.1,3.7,1.9,0.4,1.8,2.2,-0.1,1,1.4,2.7,1.4,0.7,0.3,2,2.3,3.7,0.9,-0.7,1.4,2.8,2.5,1.7,1.7,US42
Rhode Island,0.1,1.4,1.6,2.5,0.7,0.4,-0.4,1.4,-1.2,0.9,-0.1,0.2,-1.5,-0.5,-0.1,-0.6,0.1,-0.9,-0.3,0.2,-0.2,0.5,-0.6,2.2,0.5,1.3,-0.3,0.6,-1.2,1.1,-0.1,0.3,0,1.7,1.2,0.6,0.4,0.5,0.4,0,2.9,2.8,-0.2,0.7,1,1.3,0.5,0.8,3.4,3.2,0.9,2.5,2.6,0.4,0.7,1.5,3.2,1.7,2.2,1.2,3.4,3,4.3,2,1.1,1.8,3.6,2.9,3,2,US44
South Carolina,0.1,0.2,0.6,1.1,0.9,0.1,0.7,0.6,-1.7,0.3,-1.4,-0.7,-0.6,-1.7,-0.7,-0.2,-1.7,-1.3,-1.6,-1.7,-0.1,0,-0.3,0.2,0.6,0.7,-1.5,-0.2,-0.8,-0.9,-0.5,-1.2,0.3,-1.1,0,0.6,1.7,-0.1,-1.2,-0.2,2.6,1.4,-0.5,0.2,0.4,0.1,-0.6,-0.2,2.3,1,-0.2,0.9,1.3,0,0.8,0.7,1.2,1.9,0.5,0.3,0.2,1.7,2.1,-0.1,-0.2,2.1,2.5,2.7,1.9,2.6,US45
South Dakota,-3.7,-3.7,0.1,1.5,1.5,-0.2,0,-0.4,0.4,-0.2,-0.9,0.5,-0.3,1.9,0.2,-1.3,-1.3,-0.4,-0.4,-1,-1,-0.9,-2,1.4,1.4,-0.6,1.6,1,-2.4,-2,1.6,2.9,-1.6,0.4,0.4,-1.7,1.2,4,2.1,-0.3,2.3,2.2,1,-2.3,0.3,0.1,-3,0.2,2.8,3.2,1.4,1.9,1.6,1.5,1.7,2.7,3.5,2.2,-0.8,-1,0.5,0.2,4.7,-0.6,-0.9,2.9,3.8,2.2,-0.5,-2.2,US46
Tennessee,-0.6,-0.1,0.8,1.2,1.3,0.3,0.9,0.8,-2.1,0.1,-1.9,-1,-0.5,-1.7,-0.3,0.1,-1.5,-1,-1.6,-1.6,-0.6,0,-0.5,0.6,0,0.1,-2.2,-0.4,-1.6,-1.9,-0.5,-1,-0.1,-1,-0.2,-0.4,1.1,0.7,-1,-1.1,1.7,1.4,-0.7,-0.5,-0.1,-0.3,-1.1,-0.9,2.5,1.6,0.3,0.5,1,-0.2,0.8,1.1,1.2,2.2,-0.1,-0.1,0.2,1.2,2.6,-0.6,-1.1,1.3,2.6,2.3,1.4,2.1,US47
Texas,0.8,0.7,0.4,1.2,2,0.6,1.4,0,-1.2,-0.9,-0.9,-1.2,0.5,0.6,0.1,0.5,-1.1,0.3,-1.5,-0.1,-0.9,0.3,-0.2,-0.9,-0.1,-0.8,-1.8,0.7,-0.8,-1.7,0.4,0.4,0,-1.2,0.2,-0.2,0.9,-0.8,-0.3,-0.3,1,0.2,-0.2,-0.5,1,0.6,0.8,-0.7,2.4,2,1.9,1.1,0.4,0.9,0.6,1.4,2.5,0.2,0.9,1.2,0.5,2.7,3.2,0.5,0.2,1.2,2.6,2.7,1.4,1.3,US48
Utah,0.4,-0.7,-0.7,0.8,1.8,-1.4,0.4,-0.2,1.7,1,0.6,0.2,0.4,0.9,-1.4,-0.4,0.6,0,-1,0.5,-0.1,-0.9,0.6,-1.3,0.2,-1.8,0,1.4,0.4,-0.9,1,2.5,-1.1,0.3,-1.6,-0.5,1.8,0.9,1,1.1,1.2,0,1.5,-0.7,2.2,1.7,2.1,0.7,0.8,1.7,2.7,2.5,1.3,3.1,1.2,1.8,1.7,2.4,0.6,0.9,0.8,0.1,3.4,0.3,2.9,3.2,2.7,3.2,2.9,0.4,US49
Vermont,0.3,0.9,1.5,3.1,0.3,0.6,-0.7,1.1,-1.1,0.9,0.4,0.5,-1.2,-0.9,0.3,-0.8,0,-0.6,-0.5,0.2,-0.3,-0.3,-1.3,2.1,-0.1,1.2,-0.8,0.6,-1.3,1.1,-0.7,0.9,0,1.3,1.2,0.2,0.5,0.9,0.5,-0.6,2.7,2.2,-0.7,-0.1,0,1,0.7,-0.2,3.9,3,0.5,2.5,2.3,0.2,0.5,2.1,3.8,0.9,1.7,1,3.6,3,4.5,1.9,0.7,1.3,3.3,2.5,1.9,0.7,US50
Virginia,0,0.2,0.9,1.9,0.8,0.2,0.5,0.8,-1.8,1,-1.2,-0.5,-1.3,-1.5,-0.3,-0.2,-1.5,-1.4,-1,-1.4,0,0.1,-0.6,0.8,0.5,0.6,-1,0,-1.2,-1,-0.4,-1.1,-0.1,-0.4,0.2,0.6,0.8,0.4,-0.9,-0.4,2.6,2.2,-0.4,0.3,0.5,0.2,-0.8,-0.3,2.6,1.5,0.1,1,1.8,0.2,1.1,1.1,1.8,2,0.9,0.4,1.1,2.2,2.8,0.3,-0.4,1.7,2.3,2.5,1.8,2.7,US51
Washington,-1.8,-0.7,0,1.3,-1,-2.7,-0.8,-0.6,2.9,-0.6,-0.5,0.9,0.1,0.6,-1.3,0.6,0.8,1.7,0.2,-0.6,-0.1,-0.7,-0.8,0.4,0.6,-0.9,-0.2,0.1,-0.2,0.3,0,1.2,-0.6,0.6,-0.8,-2.2,1.2,2.1,1.2,0.5,1.2,1,2.5,-0.5,1.8,1.4,-0.5,1,2.5,0.8,0.1,0.8,0.8,2.1,2.3,1.2,1.4,0.7,-0.3,0.3,1,-0.6,1,1.1,2.3,3.9,2.5,0.7,1.9,0.4,US53
West Virginia,-0.2,0.1,1,1.7,0.6,0.4,0.3,0.9,-2.2,0.8,-1.6,-0.6,-1,-2.3,-0.3,-0.1,-1.6,-1.2,-1.4,-1.5,0,-0.1,-0.7,1.1,0.2,0.7,-1.8,-0.7,-1.7,-1.4,-1.1,-1.6,0,-0.4,0,0,0.7,0.7,-0.7,-0.7,2.3,2.2,-0.3,0.3,0.2,0,-0.9,-0.6,2.6,1.4,0.2,1.1,1.6,0,1.1,1.2,1.4,1.7,0.2,0.1,0.4,1.9,2.7,0.2,-0.8,1.5,2.5,2.4,1.7,2.6,US54
Wisconsin,-2.9,-2.6,0.7,1.7,0.8,0.5,-0.3,-0.2,-0.4,-0.5,-0.4,0.5,-0.8,-0.4,1,-1.2,-0.9,-1.5,0.6,-0.7,-0.3,-0.4,-2.4,1.9,-0.2,0.2,-1,0.5,-1.4,-2,-0.2,1.1,-1,1,0.8,-1,0.9,3.9,1,-1.3,2.1,1.3,0.3,-0.7,0.6,0.4,-1.9,0.2,4.9,3,1.5,2.9,2.2,0.8,1.1,2.7,3.6,2.3,-0.6,0,3.1,1.7,5,-0.6,-2.2,2.4,3.8,2.3,0.8,-0.2,US55
Wyoming,-0.7,-2,0.1,2,2.3,-0.9,0.4,-0.3,1.3,0,0.3,0.3,0.4,1.8,-1.1,-0.5,0.5,0.1,-0.9,0.4,-0.4,-0.7,-0.5,-0.9,0.5,-1.3,0.6,1.3,-1.3,-0.7,1.2,3,-0.9,0.2,-0.8,-1.5,1.6,1.8,2.1,0.5,1.1,1,1.8,-1.8,2.2,1,0.3,0.5,1.8,2.5,1.8,2.5,0.7,2.3,1.7,2.1,2.5,2.6,0,0.2,1.3,0.4,4.1,1,1.4,3.5,3.2,2.5,1.7,-0.4,US56
